Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Type_L,Type_M,Temp_diff,Power,Wear_per_speed
300.7,309.7,1623,32.7,0,0,False,False,9.0,53072.100000000006,0.0
300.8,309.7,1997,20.7,5,0,True,False,8.899999999999977,41337.9,0.0025025025025025025
300.7,309.6,1390,48.5,7,0,False,False,8.900000000000034,67415.0,0.0050323508267433505
300.8,309.7,1418,46.6,12,0,True,False,8.899999999999977,66078.8,0.008456659619450317
300.8,309.7,1519,35.8,14,0,True,False,8.899999999999977,54380.2,0.009210526315789473
300.8,309.7,1519,39.7,16,0,False,True,8.899999999999977,60304.3,0.010526315789473684
300.7,309.6,1536,37.2,19,0,False,True,8.900000000000034,57139.200000000004,0.01236174365647365
300.8,309.6,1680,28.7,22,0,True,False,8.800000000000011,48216.0,0.013087447947650209
300.6,309.4,1555,37.9,24,0,False,False,8.799999999999955,58934.5,0.015424164524421594
300.6,309.5,1471,49.6,29,0,True,False,8.899999999999977,72961.6,0.01970108695652174
300.5,309.4,1877,23.8,31,0,False,True,8.899999999999977,44672.6,0.01650692225772098
300.5,309.3,1578,30.5,34,0,False,True,8.800000000000011,48129.0,0.021532615579480684
300.5,309.4,1655,32.1,37,0,False,True,8.899999999999977,53125.5,0.022342995169082124
300.5,309.4,1502,34.3,40,0,False,False,8.899999999999977,51518.6,0.02661343978709248
300.6,309.4,1367,63.2,45,1,False,True,8.799999999999955,86394.40000000001,0.03289473684210526
300.7,309.5,1541,37.2,48,0,True,False,8.800000000000011,57325.200000000004,0.0311284046692607
300.6,309.6,1588,37.0,50,0,False,True,9.0,58756.0,0.03146633102580239
300.6,309.6,1684,32.8,53,0,True,False,9.0,55235.2,0.0314540059347181
300.6,309.5,1437,40.0,55,0,True,False,8.899999999999977,57480.0,0.03824756606397774
300.6,309.6,1409,42.4,57,0,True,False,9.0,59741.6,0.04042553191489362
300.5,309.5,1320,49.9,59,0,False,True,9.0,65868.0,0.04466313398940197
300.5,309.5,1635,34.2,62,0,False,False,9.0,55917.00000000001,0.037897310513447434
300.5,309.5,1691,27.6,67,0,False,True,9.0,46671.600000000006,0.03959810874704492
300.6,309.6,1365,50.0,70,0,False,True,9.0,68250.0,0.05124450951683748
300.7,309.7,1523,38.2,73,0,False,True,9.0,58178.600000000006,0.047900262467191604
300.6,309.7,1593,32.4,76,0,True,False,9.099999999999966,51613.2,0.04767879548306148
300.6,309.6,1682,30.7,78,0,True,False,9.0,51637.4,0.04634581105169341
300.7,309.6,1329,54.3,80,0,True,False,8.900000000000034,72164.7,0.06015037593984962
300.7,309.6,1568,35.2,82,0,False,True,8.900000000000034,55193.600000000006,0.052262587635436585
300.7,309.6,1733,24.8,85,0,True,False,8.900000000000034,42978.4,0.049019607843137254
300.7,309.6,1473,48.1,87,0,False,True,8.900000000000034,70851.3,0.059023066485753055
300.7,309.5,1633,31.3,90,0,False,True,8.800000000000011,51112.9,0.05507955936352509
300.6,309.5,1530,40.2,93,0,False,True,8.899999999999977,61506.00000000001,0.06074461136512083
300.6,309.5,1550,40.2,96,0,False,True,8.899999999999977,62310.00000000001,0.061895551257253385
300.6,309.4,1410,40.6,99,0,True,False,8.799999999999955,57246.0,0.07016300496102056
300.5,309.3,1574,33.5,101,0,True,False,8.800000000000011,52729.0,0.06412698412698413
300.6,309.4,1425,40.3,103,0,True,False,8.799999999999955,57427.49999999999,0.07223001402524544
300.6,309.4,1541,35.2,105,0,False,True,8.799999999999955,54243.200000000004,0.06809338521400778
300.7,309.5,1733,26.7,108,0,False,True,8.800000000000011,46271.1,0.06228373702422145
300.6,309.4,2496,13.5,111,0,True,False,8.799999999999955,33696.0,0.04445334401281538
300.6,309.4,1552,36.4,113,0,True,False,8.799999999999955,56492.799999999996,0.07276239536381197
300.6,309.3,1409,38.7,115,0,True,False,8.699999999999989,54528.3,0.08156028368794327
300.6,309.4,1581,35.7,117,0,False,True,8.799999999999955,56441.700000000004,0.07395701643489254
300.7,309.5,1251,59.9,120,0,True,False,8.800000000000011,74934.9,0.09584664536741214
300.7,309.6,1500,44.1,122,0,True,False,8.900000000000034,66150.0,0.08127914723517655
300.6,309.5,1576,38.8,124,0,True,False,8.899999999999977,61148.799999999996,0.07863031071655041
300.7,309.5,1352,44.0,126,0,False,True,8.800000000000011,59488.0,0.09312638580931264
300.7,309.6,1661,30.3,129,0,True,False,8.900000000000034,50328.3,0.0776173285198556
300.7,309.6,1541,34.6,131,0,True,False,8.900000000000034,53318.600000000006,0.08495460440985733
300.6,309.6,1888,20.5,133,0,False,False,9.0,38704.0,0.07040762308099524
300.5,309.5,1255,62.1,138,0,True,False,9.0,77935.5,0.10987261146496816
300.6,309.6,1411,41.6,140,0,True,False,9.0,58697.6,0.09915014164305949
300.6,309.5,1516,39.0,142,0,True,False,8.899999999999977,59124.0,0.0936058009228741
300.6,309.5,1492,34.0,144,0,False,True,8.899999999999977,50728.0,0.09645010046885466
300.6,309.6,1726,30.0,147,0,True,False,9.0,51780.0,0.08511870295309786
300.7,309.7,1598,33.7,149,0,True,False,9.0,53852.600000000006,0.09318323952470293
300.8,309.8,1657,31.1,151,0,True,False,9.0,51532.700000000004,0.09107358262967431
300.8,309.7,1481,38.1,153,0,True,False,8.899999999999977,56426.1,0.10323886639676114
300.7,309.7,1397,51.3,155,0,False,True,9.0,71666.09999999999,0.11087267525035766
300.8,309.7,1461,44.3,158,0,True,False,8.899999999999977,64722.299999999996,0.10807113543091655
300.7,309.6,1388,51.1,160,0,False,True,8.900000000000034,70926.8,0.11519078473722102
300.7,309.7,1507,52.4,163,0,True,False,9.0,78966.8,0.10809018567639257
300.7,309.6,1421,49.8,165,0,False,True,8.900000000000034,70765.8,0.1160337552742616
300.8,309.7,1258,54.9,168,0,False,True,8.899999999999977,69064.2,0.13343923749007147
300.8,309.7,1482,39.0,171,0,False,True,8.899999999999977,57798.0,0.1153068105192178
300.7,309.6,1403,51.3,174,0,False,False,8.900000000000034,71973.9,0.12393162393162394
300.8,309.7,1373,45.4,179,0,True,False,8.899999999999977,62334.2,0.13027656477438138
300.9,309.7,1460,42.1,181,0,True,False,8.800000000000011,61466.0,0.12388774811772758
300.8,309.7,1751,27.9,183,0,False,True,8.899999999999977,48852.899999999994,0.10445205479452055
300.8,309.6,1546,42.3,186,0,False,True,8.800000000000011,65395.799999999996,0.12023270846800259
300.8,309.7,1680,28.2,189,0,False,True,8.899999999999977,47376.0,0.1124330755502677
300.9,309.7,1394,48.8,192,0,False,True,8.800000000000011,68027.2,0.13763440860215054
300.7,309.6,1810,26.0,195,0,True,False,8.900000000000034,47060.0,0.10767531750414136
300.7,309.5,1479,34.5,197,0,True,False,8.800000000000011,51025.5,0.1331081081081081
300.9,309.7,1431,41.4,199,0,True,False,8.800000000000011,59243.4,0.1389664804469274
300.9,309.7,2355,14.4,201,0,True,False,8.800000000000011,33912.0,0.08531409168081494
300.7,309.6,1996,19.8,203,1,False,True,8.900000000000034,39520.8,0.10165247871807712
300.7,309.5,1461,49.9,0,0,True,False,8.800000000000011,72903.9,0.0
300.7,309.5,2007,19.7,2,0,False,False,8.800000000000011,39537.9,0.00099601593625498
300.7,309.6,1505,34.9,7,0,True,False,8.900000000000034,52524.5,0.004648074369189907
300.7,309.6,1925,20.5,9,0,False,False,8.900000000000034,39462.5,0.004672897196261682
300.7,309.5,1622,30.5,14,0,False,True,8.800000000000011,49471.0,0.00862600123228589
300.7,309.5,1592,29.0,17,0,True,False,8.800000000000011,46168.0,0.010671688637790333
300.7,309.5,1850,24.5,19,0,True,False,8.800000000000011,45325.0,0.010264721772015126
300.7,309.5,1470,48.7,21,0,False,True,8.800000000000011,71589.0,0.014276002719238613
300.7,309.5,1445,46.4,24,0,False,True,8.800000000000011,67048.0,0.016597510373443983
300.7,309.5,1685,31.1,27,0,True,False,8.800000000000011,52403.5,0.01601423487544484
300.7,309.5,1667,30.5,29,0,False,False,8.800000000000011,50843.5,0.01738609112709832
300.7,309.5,1578,35.4,34,0,True,False,8.800000000000011,55861.2,0.021532615579480684
300.6,309.4,1691,28.0,36,0,False,False,8.799999999999955,47348.0,0.02127659574468085
300.7,309.5,1439,43.8,41,0,False,True,8.800000000000011,63028.2,0.02847222222222222
300.8,309.6,1404,38.7,44,0,False,True,8.800000000000011,54334.8,0.03131672597864769
300.8,309.6,1498,45.8,47,0,True,False,8.800000000000011,68608.4,0.03135423615743829
300.8,309.5,1481,44.5,49,0,False,True,8.699999999999989,65904.5,0.033063427800269905
300.7,309.4,1589,35.0,52,0,False,True,8.699999999999989,55615.0,0.03270440251572327
300.7,309.5,1467,44.3,55,0,True,False,8.800000000000011,64988.1,0.03746594005449591
300.6,309.4,1654,32.8,57,0,True,False,8.799999999999955,54251.2,0.03444108761329305
300.7,309.5,1508,39.9,59,0,True,False,8.800000000000011,60169.2,0.0390987408880053
300.7,309.6,1439,43.0,61,0,False,True,8.900000000000034,61877.0,0.04236111111111111
300.7,309.5,1692,30.3,64,0,True,False,8.800000000000011,51267.6,0.03780271707028943
300.7,309.5,1838,24.9,66,0,False,True,8.800000000000011,45766.2,0.03588907014681892
300.6,309.3,1601,40.2,69,0,True,False,8.699999999999989,64360.200000000004,0.04307116104868914
300.6,309.4,1369,51.6,71,0,True,False,8.799999999999955,70640.40000000001,0.051824817518248176
300.6,309.4,1312,45.2,73,0,False,True,8.799999999999955,59302.4,0.055597867479055596
300.6,309.4,1468,44.1,76,0,True,False,8.799999999999955,64738.8,0.051735874744724304
300.6,309.4,1452,39.4,78,0,False,True,8.799999999999955,57208.799999999996,0.053682037164487266
300.7,309.5,1393,43.9,81,0,False,True,8.800000000000011,61152.7,0.05810616929698709
300.6,309.4,1432,44.2,84,0,False,True,8.799999999999955,63294.4,0.05861828332170272
300.6,309.3,1510,46.0,87,0,False,True,8.699999999999989,69460.0,0.05757776307081403
300.6,309.4,1521,37.2,90,0,False,True,8.799999999999955,56581.200000000004,0.05913272010512484
300.5,309.4,1360,46.2,93,0,False,False,8.899999999999977,62832.00000000001,0.0683321087435709
300.5,309.3,1881,25.5,98,0,False,True,8.800000000000011,47965.5,0.052072263549415514
300.4,309.3,1413,50.3,101,0,True,False,8.900000000000034,71073.9,0.07142857142857142
300.5,309.4,1642,36.2,103,0,False,False,8.899999999999977,59440.4,0.06269020085209982
300.5,309.5,1542,38.5,108,0,True,False,9.0,59367.0,0.06999351911860013
300.4,309.5,1447,39.3,110,0,True,False,9.100000000000023,56867.1,0.07596685082872928
300.4,309.4,1530,40.4,112,0,False,False,9.0,61812.0,0.07315480078380143
300.5,309.5,1795,27.7,117,0,True,False,9.0,49721.5,0.06514476614699331
300.6,309.6,1290,57.4,119,0,True,False,9.0,74046.0,0.09217660728117738
300.6,309.7,1639,30.4,121,0,True,False,9.099999999999966,49825.6,0.07378048780487804
300.7,309.8,1596,31.5,123,0,True,False,9.100000000000023,50274.0,0.07701941139636818
300.6,309.8,1455,48.0,125,0,True,False,9.199999999999989,69840.0,0.08585164835164835
300.6,309.8,1659,28.9,127,0,False,True,9.199999999999989,47945.1,0.07650602409638554
300.6,309.8,1532,42.5,130,0,False,True,9.199999999999989,65110.0,0.08480104370515329
300.6,309.8,1502,42.4,133,0,True,False,9.199999999999989,63684.799999999996,0.08848968729208251
300.6,309.8,1688,28.6,135,0,True,False,9.199999999999989,48276.8,0.07992895204262877
300.5,309.7,1341,50.9,137,0,False,True,9.199999999999989,68256.9,0.10208643815201192
300.5,309.7,1685,29.4,140,0,False,True,9.199999999999989,49539.0,0.0830367734282325
300.5,309.8,1370,55.9,143,0,False,True,9.300000000000011,76583.0,0.10430342815463166
300.5,309.8,1461,52.5,146,0,True,False,9.300000000000011,76702.5,0.09986320109439124
300.5,309.8,1550,37.4,148,0,True,False,9.300000000000011,57970.0,0.09542230818826564
300.5,309.8,1508,37.8,150,0,False,True,9.300000000000011,57002.399999999994,0.09940357852882704
300.5,309.8,1345,62.7,153,0,True,False,9.300000000000011,84331.5,0.11367013372956909
300.5,309.7,1616,34.5,155,0,True,False,9.199999999999989,55752.0,0.095856524427953
300.5,309.7,1395,61.0,157,0,True,False,9.199999999999989,85095.0,0.11246418338108882
300.5,309.8,1324,72.8,159,1,False,False,9.300000000000011,96387.2,0.12
300.5,309.8,1445,43.9,164,0,True,False,9.300000000000011,63435.5,0.11341632088520055
300.5,309.8,1555,38.9,166,0,False,True,9.300000000000011,60489.5,0.10668380462724936
300.6,309.9,1449,42.4,169,0,False,True,9.299999999999955,61437.6,0.11655172413793104
300.5,309.9,1466,53.2,172,0,False,True,9.399999999999977,77991.2,0.11724608043626449
300.5,309.9,1503,37.4,175,0,True,False,9.399999999999977,56212.2,0.1163563829787234
300.4,309.7,1488,35.7,177,0,True,False,9.300000000000011,53121.600000000006,0.11887172599059771
300.4,309.7,1314,50.2,179,0,True,False,9.300000000000011,65962.8,0.1361216730038023
300.4,309.7,1547,38.0,181,0,False,True,9.300000000000011,58786.0,0.11692506459948321
300.4,309.7,1466,39.8,184,0,False,True,9.300000000000011,58346.799999999996,0.125426039536469
300.3,309.6,1537,37.1,187,0,True,False,9.300000000000011,57022.700000000004,0.12158647594278284
300.2,309.5,1434,51.5,189,0,False,True,9.300000000000011,73851.0,0.13170731707317074
300.4,309.6,1432,44.7,192,0,True,False,9.200000000000045,64010.4,0.13398464759246337
300.5,309.6,1390,48.4,194,0,True,False,9.100000000000023,67276.0,0.13946800862688713
300.5,309.7,1580,42.8,196,0,True,False,9.199999999999989,67624.0,0.12397216951296648
300.5,309.7,1589,30.5,198,0,True,False,9.199999999999989,48464.5,0.12452830188679245
300.5,309.8,1441,48.8,200,0,True,False,9.300000000000011,70320.8,0.13869625520110956
300.5,309.8,1305,51.7,202,0,True,False,9.300000000000011,67468.5,0.1546707503828484
300.5,309.8,1566,35.9,204,0,False,True,9.300000000000011,56219.399999999994,0.1301850670070198
300.5,309.8,1379,54.2,207,1,True,False,9.300000000000011,74741.8,0.15
300.4,309.6,1543,38.1,209,0,True,False,9.200000000000045,58788.3,0.13536269430051814
300.5,309.8,1421,49.6,211,0,True,False,9.300000000000011,70481.6,0.14838255977496484
300.5,309.6,1760,30.6,213,0,True,False,9.100000000000023,53856.0,0.12095400340715502
300.4,309.5,1711,29.2,215,0,True,False,9.100000000000023,49961.2,0.12558411214953272
300.5,309.6,1465,41.6,217,0,True,False,9.100000000000023,60944.0,0.1480218281036835
300.5,309.6,1366,50.2,219,0,True,False,9.100000000000023,68573.2,0.16020482809070957
300.4,309.5,1888,21.9,221,0,False,True,9.100000000000023,41347.2,0.1169931180518793
300.5,309.5,1777,23.6,0,0,True,False,9.0,41937.200000000004,0.0
300.5,309.5,1379,55.6,2,0,True,False,9.0,76672.40000000001,0.0014492753623188406
300.4,309.5,1525,51.3,4,0,True,False,9.100000000000023,78232.5,0.002621231979030144
300.4,309.6,1563,34.0,6,0,False,True,9.200000000000045,53142.0,0.0038363171355498722
300.5,309.7,1389,43.3,9,0,False,True,9.199999999999989,60143.7,0.006474820143884892
300.6,309.8,1447,42.9,12,0,False,True,9.199999999999989,62076.299999999996,0.008287292817679558
300.6,309.7,1934,22.8,15,0,False,True,9.099999999999966,44095.200000000004,0.007751937984496124
300.6,309.7,1470,43.8,18,0,False,False,9.099999999999966,64385.99999999999,0.012236573759347382
300.6,309.7,1428,42.6,23,0,False,True,9.099999999999966,60832.8,0.01609517144856543
300.4,309.6,1319,48.1,26,0,True,False,9.200000000000045,63443.9,0.019696969696969695
300.5,309.7,1887,24.3,28,0,True,False,9.199999999999989,45854.1,0.014830508474576272
300.4,309.5,1349,50.4,30,0,True,False,9.100000000000023,67989.59999999999,0.022222222222222223
300.3,309.5,1665,31.4,32,0,False,True,9.199999999999989,52281.0,0.01920768307322929
300.3,309.5,1474,38.7,35,0,True,False,9.199999999999989,57043.8,0.023728813559322035
300.4,309.5,1543,38.9,37,0,True,False,9.100000000000023,60022.7,0.023963730569948185
300.2,309.4,1459,43.9,39,0,False,True,9.199999999999989,64050.1,0.02671232876712329
300.3,309.5,1551,37.9,42,0,True,False,9.199999999999989,58782.899999999994,0.027061855670103094
300.2,309.4,1981,21.4,44,0,True,False,9.199999999999989,42393.399999999994,0.022199798183652877
300.2,309.4,1526,35.3,46,0,True,False,9.199999999999989,53867.799999999996,0.030124426981008513
300.2,309.4,1501,40.0,48,0,False,True,9.199999999999989,60040.0,0.03195739014647137
300.2,309.4,1558,38.3,51,0,True,False,9.199999999999989,59671.399999999994,0.0327132777421424
300.2,309.3,1532,43.2,53,0,True,False,9.100000000000023,66182.40000000001,0.03457273320287019
300.1,309.2,1326,55.9,55,0,True,False,9.099999999999966,74123.4,0.04144687264506405
300.2,309.2,1431,51.3,57,0,True,False,9.0,73410.3,0.039804469273743016
300.2,309.3,1366,49.3,59,0,True,False,9.100000000000023,67343.8,0.04316020482809071
300.1,309.2,1421,42.5,61,0,True,False,9.099999999999966,60392.5,0.04289732770745429
300.2,309.3,1506,35.6,63,0,False,False,9.100000000000023,53613.6,0.0418049104180491
300.2,309.3,1342,48.7,68,0,False,False,9.100000000000023,65355.4,0.05063291139240506
300.1,309.2,1427,37.6,73,0,True,False,9.099999999999966,53655.200000000004,0.05112044817927171
300.2,309.2,1667,29.9,75,0,True,False,9.0,49843.299999999996,0.044964028776978415
300.1,309.1,1400,46.7,77,0,True,False,9.0,65380.00000000001,0.054960742326909354
300.0,309.0,1709,32.1,79,0,True,False,9.0,54858.9,0.046198830409356725
300.0,309.0,1368,45.8,81,0,False,True,9.0,62654.399999999994,0.0591672753834916
300.0,309.1,1882,23.8,84,0,True,False,9.100000000000023,44791.6,0.04460966542750929
300.1,309.1,1353,58.7,86,0,True,False,9.0,79421.1,0.06351550960118169
299.9,309.0,1553,40.0,88,0,True,False,9.100000000000023,62120.0,0.05662805662805663
300.0,309.1,1431,45.4,90,0,True,False,9.100000000000023,64967.4,0.06284916201117319
300.1,309.1,1731,30.4,92,0,False,True,9.0,52622.399999999994,0.053117782909930716
300.1,309.2,1687,27.7,95,0,False,True,9.099999999999966,46729.9,0.05627962085308057
300.1,309.2,1457,44.3,98,0,False,True,9.099999999999966,64545.1,0.06721536351165981
300.1,309.2,1533,37.0,101,0,True,False,9.099999999999966,56721.0,0.06584093872229466
300.0,309.0,1622,31.8,103,0,False,False,9.0,51579.6,0.06346272335181762
300.0,309.1,1791,28.2,108,0,True,False,9.100000000000023,50506.2,0.060267857142857144
300.0,309.1,1631,28.3,110,0,True,False,9.100000000000023,46157.3,0.06740196078431372
300.0,309.0,2174,16.9,112,0,True,False,9.0,36740.6,0.05149425287356322
300.1,309.0,1314,58.2,114,0,True,False,8.899999999999977,76474.8,0.08669201520912548
300.1,309.1,1478,46.9,116,0,True,False,9.0,69318.2,0.0784313725490196
300.1,309.2,1783,27.3,118,0,True,False,9.099999999999966,48675.9,0.06614349775784753
300.1,309.2,1385,46.1,120,0,False,True,9.099999999999966,63848.5,0.08658008658008658
300.0,309.2,1444,43.6,123,0,True,False,9.199999999999989,62958.4,0.08512110726643599
300.1,309.3,1841,23.0,125,0,True,False,9.199999999999989,42343.0,0.06786102062975027
300.1,309.4,1349,56.2,127,0,False,True,9.299999999999955,75813.8,0.09407407407407407
300.1,309.3,1340,56.0,130,0,True,False,9.199999999999989,75040.0,0.09694258016405667
299.9,309.2,1539,43.2,132,0,False,True,9.300000000000011,66484.8,0.08571428571428572
300.0,309.3,1932,21.8,135,0,False,True,9.300000000000011,42117.6,0.06983962752198655
300.0,309.3,1407,43.9,138,0,False,True,9.300000000000011,61767.299999999996,0.09801136363636363
300.1,309.3,1712,28.5,141,0,True,False,9.199999999999989,48792.0,0.08231173380035026
300.1,309.4,1329,55.2,143,0,False,False,9.299999999999955,73360.8,0.10751879699248121
300.1,309.2,1441,42.9,148,0,True,False,9.099999999999966,61818.9,0.10263522884882108
300.0,309.2,1610,32.1,150,0,True,False,9.199999999999989,51681.0,0.0931098696461825
300.0,309.1,1474,45.2,152,0,False,True,9.100000000000023,66624.8,0.10305084745762712
300.0,309.1,1624,30.8,155,0,False,True,9.100000000000023,50019.200000000004,0.09538461538461539
300.1,309.3,1520,38.2,158,0,False,False,9.199999999999989,58064.00000000001,0.10387902695595003
300.1,309.3,1448,45.8,163,0,False,False,9.199999999999989,66318.4,0.11249137336093858
300.0,309.3,1558,29.7,168,0,True,False,9.300000000000011,46272.6,0.1077613855035279
300.0,309.3,2293,16.3,170,0,False,True,9.300000000000011,37375.9,0.07410636442894507
300.0,309.3,1397,51.2,173,0,True,False,9.300000000000011,71526.40000000001,0.12374821173104435
300.0,309.3,1972,22.0,175,0,True,False,9.300000000000011,43384.0,0.08869741510390268
299.9,309.2,1574,36.5,177,0,False,True,9.300000000000011,57451.0,0.11238095238095239
299.9,309.2,1560,38.9,180,0,True,False,9.300000000000011,60684.0,0.11531069827033953
299.9,309.2,1353,49.8,182,0,False,True,9.300000000000011,67379.4,0.1344165435745938
299.9,309.2,1389,51.2,185,0,False,True,9.300000000000011,71116.8,0.13309352517985612
299.9,309.1,1513,43.8,188,0,False,True,9.200000000000045,66269.4,0.12417437252311757
299.8,309.1,1578,42.1,191,0,True,False,9.300000000000011,66433.8,0.12096263457884737
299.8,309.0,1467,37.3,193,0,False,False,9.199999999999989,54719.1,0.13147138964577657
299.9,309.1,1412,48.3,198,0,True,False,9.200000000000045,68199.59999999999,0.14012738853503184
299.8,309.1,1668,30.3,200,0,True,False,9.300000000000011,50540.4,0.11983223487118035
299.8,309.2,1678,29.8,202,0,False,True,9.399999999999977,50004.4,0.12030970815961882
299.8,309.1,1612,35.4,205,0,True,False,9.300000000000011,57064.799999999996,0.12709237445753255
299.8,309.1,1485,39.9,207,0,True,False,9.300000000000011,59251.5,0.13930013458950202
299.8,309.1,1456,39.4,209,0,False,True,9.300000000000011,57366.4,0.14344543582704186
299.8,309.2,1504,38.7,212,0,True,False,9.399999999999977,58204.8,0.14086378737541527
299.9,309.2,1491,44.3,214,0,True,False,9.300000000000011,66051.3,0.14343163538873996
299.9,309.2,1525,33.2,0,0,False,False,9.300000000000011,50630.00000000001,0.0
300.0,309.2,1759,27.9,5,0,True,False,9.199999999999989,49076.1,0.002840909090909091
299.8,309.1,1355,56.7,7,0,False,True,9.300000000000011,76828.5,0.005162241887905605
299.9,309.1,1345,56.8,10,0,False,True,9.200000000000045,76396.0,0.007429420505200594
299.9,309.2,1683,30.5,13,0,False,True,9.300000000000011,51331.5,0.007719714964370546
299.9,309.2,1658,34.8,16,0,True,False,9.300000000000011,57698.399999999994,0.009644364074743821
300.0,309.2,1566,34.4,18,0,True,False,9.199999999999989,53870.399999999994,0.01148691767708998
300.1,309.3,1469,43.9,20,0,False,True,9.199999999999989,64489.1,0.013605442176870748
300.2,309.5,1458,46.9,23,0,False,True,9.300000000000011,68380.2,0.015764222069910898
300.1,309.4,1858,23.6,26,0,True,False,9.299999999999955,43848.8,0.013986013986013986
300.1,309.4,1563,40.8,28,0,False,False,9.299999999999955,63770.399999999994,0.017902813299232736
300.1,309.4,2141,17.9,33,0,True,False,9.299999999999955,38323.899999999994,0.015406162464985995
300.0,309.3,1473,46.0,35,0,True,False,9.300000000000011,67758.0,0.023744911804613297
300.0,309.4,1498,38.5,37,0,False,False,9.399999999999977,57673.0,0.024683122081387593
300.1,309.4,1568,39.7,42,0,True,False,9.299999999999955,62249.600000000006,0.02676864244741874
300.1,309.4,1694,27.4,44,0,True,False,9.299999999999955,46415.6,0.025958702064896755
300.0,309.4,1499,35.7,46,0,True,False,9.399999999999977,53514.3,0.030666666666666665
300.0,309.5,1717,28.3,48,0,True,False,9.5,48591.1,0.027939464493597205
300.1,309.5,1462,42.8,50,0,False,True,9.399999999999977,62573.6,0.03417634996582365
300.1,309.6,1642,34.5,53,0,True,False,9.5,56649.0,0.03225806451612903
300.1,309.6,1760,25.4,55,0,True,False,9.5,44704.0,0.031232254400908575
300.1,309.5,1660,32.7,57,0,True,False,9.399999999999977,54282.00000000001,0.03431667670078266
300.1,309.5,1557,40.6,59,0,True,False,9.399999999999977,63214.200000000004,0.037869062901155326
300.2,309.6,1442,49.2,61,0,False,False,9.400000000000034,70946.40000000001,0.04227304227304227
300.2,309.6,1359,51.5,66,0,True,False,9.400000000000034,69988.5,0.04852941176470588
300.4,309.8,1342,52.5,68,0,True,False,9.400000000000034,70455.0,0.05063291139240506
300.4,309.9,1435,54.8,70,0,True,False,9.5,78638.0,0.04874651810584958
300.4,309.9,1567,36.5,72,0,True,False,9.5,57195.5,0.04591836734693878
300.4,309.9,1376,43.5,74,0,True,False,9.5,59856.0,0.05374001452432825
300.4,309.9,1513,38.7,76,0,False,False,9.5,58553.100000000006,0.05019815059445178
300.4,309.9,2563,12.8,81,1,False,False,9.5,32806.4,0.03159126365054602
300.5,310.0,1521,45.1,86,0,True,False,9.5,68597.1,0.056504599211563734
300.6,310.0,1658,34.7,88,0,True,False,9.399999999999977,57532.600000000006,0.05304400241109102
300.6,310.0,1419,42.4,90,0,False,False,9.399999999999977,60165.6,0.06338028169014084
300.6,310.0,1478,36.3,95,0,False,True,9.399999999999977,53651.399999999994,0.06423258958755916
300.5,310.0,1415,43.5,98,0,False,True,9.5,61552.5,0.0692090395480226
300.5,309.9,1780,26.5,101,0,False,True,9.399999999999977,47170.0,0.056709713644020214
300.4,309.7,1440,42.8,104,0,False,True,9.300000000000011,61631.99999999999,0.07217210270645386
300.4,309.8,1448,39.7,107,0,False,False,9.400000000000034,57485.600000000006,0.0738440303657695
300.4,309.7,1500,35.2,112,0,False,False,9.300000000000011,52800.00000000001,0.07461692205196535
300.4,309.8,1513,32.9,117,0,True,False,9.400000000000034,49777.7,0.0772787318361955
300.5,309.8,1428,43.8,119,0,True,False,9.300000000000011,62546.399999999994,0.08327501749475158
300.5,309.8,1473,42.3,121,0,False,True,9.300000000000011,62307.899999999994,0.08208955223880597
300.5,309.9,1483,49.3,124,0,False,True,9.399999999999977,73111.9,0.08355795148247978
300.4,309.7,1534,42.5,127,0,True,False,9.300000000000011,65195.0,0.08273615635179153
300.5,309.8,1367,54.0,129,0,True,False,9.300000000000011,73818.0,0.09429824561403509
300.4,309.7,1467,36.9,131,0,True,False,9.300000000000011,54132.299999999996,0.08923705722070845
300.4,309.7,1488,42.2,133,0,False,True,9.300000000000011,62793.600000000006,0.0893216924110141
300.4,309.7,1679,30.1,136,0,True,False,9.300000000000011,50537.9,0.08095238095238096
300.4,309.8,1409,47.5,138,0,False,False,9.400000000000034,66927.5,0.09787234042553192
300.4,309.7,1367,51.2,143,0,False,True,9.300000000000011,69990.40000000001,0.10453216374269006
300.4,309.8,1314,63.1,146,0,True,False,9.400000000000034,82913.40000000001,0.11102661596958174
300.5,309.9,1480,40.0,148,0,True,False,9.399999999999977,59200.0,0.099932478055368
300.4,309.8,1549,38.9,150,0,True,False,9.400000000000034,60256.1,0.0967741935483871
300.4,309.7,1685,31.3,152,0,True,False,9.300000000000011,52740.5,0.09015421115065243
300.4,309.6,1536,34.5,154,0,True,False,9.200000000000045,52992.0,0.10019518542615485
300.4,309.7,1539,37.7,156,0,False,True,9.300000000000011,58020.3,0.1012987012987013
300.4,309.7,1384,45.1,159,0,True,False,9.300000000000011,62418.4,0.1148014440433213
300.4,309.6,1614,30.3,161,0,False,True,9.200000000000045,48904.200000000004,0.09969040247678018
300.4,309.6,1675,35.5,164,0,False,True,9.200000000000045,59462.5,0.09785202863961814
300.4,309.7,1685,32.3,167,0,False,True,9.300000000000011,54425.49999999999,0.09905100830367734
300.4,309.6,1386,56.9,170,0,True,False,9.200000000000045,78863.4,0.12256669069935111
300.3,309.6,1488,41.3,172,0,False,True,9.300000000000011,61454.399999999994,0.1155137676292814
